id,name
1,HyVee Inc
2,"Creation's Garden Natural Products, Inc"
3,Midlothian Laboratories
4,Apotheca Company
5,"Nelco Laboratories, Inc."
6,"ALK-Abello, Inc."
7,Virtus Pharmaceuticals LLC
8,A-S Medication Solutions LLC
9,Dr.Reddy's Laboratories Limited
10,Actavis Elizabeth LLC
11,Direct Rx
12,West-ward Pharmaceutical Corp
13,West-Ward Pharmaceutical Corp
14,Amerisource Bergen
15,Publix Super Markets Inc
16,Sanum Kehlbeck GmbH & Co. KG
17,"Glenmark Generics Inc., USA"
18,"PD-Rx Pharmaceuticals, Inc."
19,Carilion Materials Management
20,"ZymoGenetics, Inc."
21,KMART CORPORATION
22,Cardinal Health
23,3M ESPE Dental Products
24,"Henry Schein, Inc."
25,"International Nature Nutraceuticals, Inc."
