id,client_name,start_date,closure_date
1,"PD-Rx Pharmaceuticals, Inc.",2020-10-11,2021-01-30
2,"Glenmark Generics Inc., USA",2020-11-16,2021-04-21
3,A-S Medication Solutions LLC,2020-11-26,2021-01-19
4,Cardinal Health,2020-03-03,2021-04-04
5,Carilion Materials Management,2020-07-18,2021-01-18
6,"International Nature Nutraceuticals, Inc.",2020-04-15,2021-04-01
7,HyVee Inc,2020-01-24,2021-04-28
8,Cardinal Health,2020-01-19,2021-04-06
9,"Nelco Laboratories, Inc.",2020-01-04,2021-01-24
10,"PD-Rx Pharmaceuticals, Inc.",2020-06-10,2021-04-08
11,West-ward Pharmaceutical Corp,2020-10-22,2021-03-20
12,"Creation's Garden Natural Products, Inc",2020-06-20,2021-04-15
13,West-Ward Pharmaceutical Corp,2020-11-10,2021-03-08
14,"Henry Schein, Inc.",2020-08-13,2021-01-19
15,"Glenmark Generics Inc., USA",2020-02-01,2021-03-28
16,"Creation's Garden Natural Products, Inc",2020-02-25,2021-01-30
17,KMART CORPORATION,2020-01-27,2021-04-03
18,HyVee Inc,2020-11-13,2021-03-26
19,Midlothian Laboratories,2020-08-28,2021-02-06
20,West-Ward Pharmaceutical Corp,2020-04-05,2021-04-30
21,West-ward Pharmaceutical Corp,2020-06-23,2021-03-06
22,"PD-Rx Pharmaceuticals, Inc.",2020-06-18,2021-04-07
23,"ALK-Abello, Inc.",2020-12-09,2021-04-29
24,KMART CORPORATION,2020-12-17,2021-02-23
25,3M ESPE Dental Products,2020-10-15,2021-01-16
