id,name,container,temperature,lot,concentration,manufacture date
1,Treatment Set TS348467,ampoule,30C,93-541-0939,USP,2019-03-26
2,Verapamil Hydrochloride,bottle,30C,50-837-6175,1 mg/mL,2019-04-20
3,glipizide,tub,-65C,97-184-1109,1 mg/mL,2019-10-22
4,"Polygonum Aviculare, Acorus Calamus, Rhus Toxicodendron, Gnaphalium Polycephalum, Rhododendron Chrysanthum, Colocynthis, Colchicum Autumnale, Kali Iodatum, Ichthyolum, Symphytum Officinale",bottle,-80C,08-140-2681,1 mg/mL,2019-09-05
5,AMYL NITRITE - LACHESIS MUTA VENOM - SANGUINARIA CANADENSIS ROOT,ampoule,-65C,27-557-9292,USP,2019-11-10
6,Promethazine Hydrochloride,foil pouch,25C,06-620-4388,USP,2019-01-29
7,Citalopram,bag,Ambient,21-316-7231,TBD,2019-04-13
8,Dicyclomine Hydrochloride,bag,5C,85-422-3390,USP,2019-05-17
9,nicardipine hydrochloride,bag,30C,70-014-1857,TBD,2019-09-01
10,"Arnica Montana, Galium Aparine, Hepar Suis, L-Isoleucine, L-Leucine, L-Valine, Pituitary, Hyaluronic Acid, IGF-1, Elk Velvet Antler,",ampoule,30C,40-724-7174,1 mg/mL,2019-10-24
11,ibuprofen,ampoule,30C,59-681-7511,TBD,2019-04-02
12,clonidine hydrochloride,foil pouch,Ambient,46-095-0067,TBD,2019-09-27
13,ACONITUM FEROX,bottle,-80C,86-895-0776,1 mg/mL,2019-06-25
14,Meclizine HCl,bottle,30C,51-562-4664,99.9%,2019-06-26
15,Acetaminophen and Codeine Phosphate,bottle,30C,35-421-9761,TBD,2019-09-08
16,levalbuterol tartrate,ampoule,-65C,67-341-2908,99.9%,2019-07-28
17,METOPROLOL SUCCINATE,bottle,25C,32-230-7697,10 mg/mL,2019-08-25
18,Lithium Carbonate,bag,30C,86-049-8209,USP,2019-01-29
19,Silver Maple,tub,30C,40-811-3104,TBD,2019-02-02
20,carvedilol phosphate,ampoule,30C,42-864-1360,USP,2019-07-10
21,BENZALKONIUM CHLORIDE,bag,25C,83-386-5850,10 mg/mL,2019-01-30
22,temazepam,ampoule,25C,21-462-5164,USP,2019-09-13
23,CAPSAICIN,foil pouch,-20C,73-628-6815,1 mg/mL,2019-05-13
24,Sodium Fluoride,foil pouch,-65C,14-738-1677,1 mg/mL,2019-06-29
25,"Arnica 30c, Aurum Nat Mur 30c, Bambusa 30c, Calc phos, Chamomilla 30c, Kali Bromatum 30c, Lilium Tig 30c, Nitricum Acidum 30c, Secale 30c, Silicea 30c, Sepia 30c, Phosphorous 30c, Platina 30",bag,25C,10-645-8834,10 mg/mL,2019-01-31
